user_id,item_list
26896,8491 11757 5986 12372 12691 8513 5523 11669 18078 10478
6419,8202 3991 8637 7233 16373 4458 15908 5262 8745 4626
11285,11094 16200 5196 4343 9003 18290 12472 5285 5114 14391
3211,15132 6062 4830 13207 13906 13849 13842 15148 6662 13892
9734,4658 5067 9000 521 10277 4634 17995 3580 3648 6282
9846,6228 11049 8900 4623 7096 4083 9109 17547 4190 2949
16890,4544 17791 5822 15188 3119 6799 7172 17543 4359 11288
11699,16337 3572 4539 3633 5926 5957 5357 8843 10843 4032
18201,10949 16232 11300 4100 16104 4059 4623 16233 4214 2088
1648,15892 16201 10843 5610 10141 131 3066 6015 7174 2234
15194,7602 7100 4221 17870 13318 7156 4637 10011 9031 937
10020,6715 7583 10731 5147 17507 8857 5306 8937 9014 12526
24777,724 12808 145 16357 9092 10232 14250 7672 5602 11132
23182,5721 3805 8668 3580 5693 5700 5537 6518 18260 5196
23588,11172 5147 4118 13120 4630 6513 872 15739 3995 10601
5722,15227 4844 15225 7354 9109 11733 3546 7580 5931 4344
25628,14383 8478 11004 2511 18185 14522 5144 8414 8481 8984
26648,18052 8855 6984 6432 7494 16104 10790 4626 9939 1432
17996,9461 1824 18031 566 5756 10466 950 1935 15119 17955
5623,4724 4706 4634 6132 7199 4660 4723 17560 383 13918
27835,4250 5518 15120 7581 16409 15114 9202 15655 16602 8508
1841,4807 4485 4635 3604 4687 10960 8506 7627 5611 6135
8965,374 3572 7121 3566 1663 11191 4838 16281 2103 12339
10920,1244 11567 12333 4063 5253 5291 8992 4984 4125 5252
16160,4439 1611 4057 12259 10469 13918 3999 7325 10141 9947
9778,8481 10155 9104 2661 5490 4691 620 10573 4931 16634
14510,7710 7020 4361 7202 2431 4408 9245 7134 14315 4630
14751,3830 9713 14251 8385 3993 6947 14870 6375 6768 10277
6726,5113 13825 6018 6176 5402 10167 6691 7659 10163 10297
5121,10466 6305 5562 13849 7291 10227 5260 6717 4410 2379
10400,8203 4125 8381 10573 2054 17140 7192 4055 6802 12858
5128,14754 8748 17782 7662 295 8759 7659 12152 9128 13133
24621,1986 4791 8318 10067 4282 2835 16661 5213 9939 13831
8105,9212 18291 6391 5183 207 8516 9106 7402 5731 5431
9385,5556 5645 5555 1144 13426 3509 15134 16794 9227 13075
14197,6812 4524 3244 15853 13470 13613 8564 5663 5281 6530
15889,15680 3883 10992 3806 13385 6209 7495 4068 5120 4531
5616,8666 3993 4768 5120 3655 8619 10678 7295 17567 5645
13265,7120 12750 4097 3963 11733 5887 9168 8419 4098 4630
19043,18246 3363 15119 7655 17768 8732 2518 11362 17505 6200
17033,8500 10572 9266 10732 4439 15908 9482 1814 10160 9129
15671,5927 3959 5426 10466 6808 2570 5034 3595 15119 7851
2085,9031 7066 4547 828 18098 8915 3898 13949 3648 6920
7648,6778 6165 5712 12657 3020 7446 1636 12662 8508 7662
15223,1763 6209 10650 14705 10508 5530 1792 13062 1080 1637
9757,1663 16769 8308 9477 5112 6304 250 8978 15030 7516
20892,11761 3822 5332 5562 232 9236 3576 7352 9046 9199
21661,18260 142 9429 15203 4059 16398 6404 9391 3421 7323
8117,6289 9203 5279 3537 3509 7518 7624 15101 5285 8404
745,3705 15663 2843 4619 3095 10067 6427 14066 18276 2999
9551,17955 2290 15171 3623 16178 5863 1345 12934 13954 5353
3132,13582 14894 8720 8675 14315 15245 15303 7308 13298 9948
16628,4197 4728 1675 7655 5313 17596 9037 17600 17597 17585
2931,5034 8638 6394 10141 3806 7174 5332 231 6957 3991
20080,3807 4223 345 5825 4207 376 4416 5113 11220 3805
3242,17807 13090 3594 4755 5723 6526 3591 5724 5475 6530
16952,9696 1023 12926 7600 4933 4416 5586 8627 7583 8259
538,7491 5921 6207 3842 5736 4720 5222 13090 4717 11920
14578,5270 727 17750 7640 11437 5034 2186 593 10289 6485
20200,5590 11418 18213 4035 5740 3039 8353 5508 4034 5130
22828,4728 5391 8179 16530 4815 5637 4967 12806 5494 7036
13540,4396 6889 17594 7953 12463 2557 6793 7602 4952 15892
8007,6745 17870 4634 5054 3806 3807 16215 6943 3601 7301
24303,5926 6595 5916 4702 4224 6662 10000 1595 17782 18284
3145,14082 13298 4985 17811 10914 4983 66 8261 3635 5834
2815,3920 1943 14727 8127 7310 17133 1159 17135 6292 9691
2992,10920 9655 15443 4166 5765 4855 14120 9638 13297 3847
5539,4446 5328 6756 5262 12859 3806 5455 5560 4365 7199
29448,2255 737 11240 2732 4446 10813 8390 13836 8223 12469
14749,4000 17179 5523 4192 4981 15664 5562 16427 16224 4527
4632,3531 2244 12194 16465 5338 4299 5745 4083 14966 10010
12777,9456 3146 6014 4762 6464 8618 5111 6201 13280 6794
10005,9969 4446 10055 5607 5606 14196 6526 4253 18212 6791
25296,15573 4855 1831 9715 4630 2611 11293 4343 5196 12166
23668,14847 4651 7380 725 10466 15235 4279 12940 4200 4498
24793,3831 17598 2296 5895 5100 542 17955 7699 5577 15738
18735,3407 14719 4210 10960 17558 4289 14149 2160 11291 9485
22812,4806 6793 9259 5192 5204 3566 8638 15030 7496 737
9305,126 5648 10207 4719 4010 17137 8854 5745 9459 2301
27540,11933 5607 6309 529 9714 7199 13825 6706 5606 5608
4307,2778 4365 11316 2301 14106 6948 3999 5139 8399 5508
19408,7659 10068 17671 7581 7458 3552 8526 4009 9448 3588
22872,5743 197 4481 11214 8627 15398 4244 8982 6228 4210
14737,12038 12177 4628 4010 13055 6551 5672 5610 15720 7688
19152,14887 3406 4538 4878 4867 4844 17374 9983 14270 6209
22010,12933 10531 2260 11786 2261 7120 2575 10810 17791 4446
17308,9703 17610 17650 5530 4063 5700 379 3059 3972 4959
15354,16220 5114 9562 9017 6099 12182 15707 9103 18291 5147
30759,8982 5013 3381 737 12037 6990 15224 9628 4985 67
4099,17881 11222 160 17759 14205 76 8377 7301 6324 3064
21644,6198 7581 10153 18098 9482 8306 4747 14282 14281 10157
9839,9703 532 18120 9383 5593 15946 5280 7475 12635 7199
26248,17464 8814 9622 9655 3571 8843 5065 3105 694 10466
11724,7314 8611 3842 16106 5372 17310 9906 6817 5005 18308
15687,4280 6494 5044 5524 13838 10660 4757 4634 395 4748
13456,17819 7843 7038 1712 5722 1722 1710 18245 7851 6511
25490,8623 8903 131 9974 10029 2301 4755 14243 4691 5120
11425,5645 9009 5127 7706 3698 11218 5556 5455 5689 6352
1457,7190 7199 18322 187 4711 3842 3806 18080 4727 2778
9521,3537 6526 3836 2570 4747 14251 14187 6362 13046 6806
10600,19 14883 1554 2586 5113 6952 2519 5731 5732 5725
26108,17980 14661 17968 10900 8909 15341 8399 564 8384 18352
11137,7246 8530 4057 5184 10469 9111 13270 8635 17955 8502
2721,12653 729 10141 13831 6885 5637 3726 7595 6219 3838
20431,4719 5465 8586 4705 16138 3516 2053 9446 12851 15385
25853,17791 4275 6150 10830 8380 5539 5689 9714 8384 5877
10844,14442 7145 8475 11220 6326 13248 12696 17791 735 5834
25749,7192 10559 17600 5429 12849 8401 2116 18302 12701 12038
2966,6812 3065 9693 15891 5034 6778 6793 11314 10466 3089
3836,6945 3536 3529 6943 6117 6374 6013 8470 6588 5835
14112,8389 7172 5284 5650 8170 3476 4634 8627 4710 6392
21327,8111 8011 7581 6530 9461 10693 7195 6156 12469 10087
15568,15892 14142 12657 3662 187 3052 6955 2437 14251 3786
17304,10142 7626 6793 5508 8213 4081 1075 6228 10264 4095
10338,7181 7183 3995 2822 5694 11933 4396 4723 8259 15148
24680,155 8529 15199 6352 3089 17945 10807 6982 5661 18148
23957,3165 3105 5396 14081 14852 11200 4071 12763 3555 6496
24627,6374 6043 4778 17836 18267 6169 5196 694 6292 9224
23451,12526 2233 8064 8261 4355 17783 10154 10650 12527 9497
30679,7883 14752 8186 7884 4485 10425 15462 14671 4489 7885
26045,16220 4524 4759 6398 61 5387 256 4702 5650 17210
24022,708 11361 7581 6215 18275 4207 10582 15892 7329 3627
18771,6132 9252 15835 3601 7292 17479 4983 10928 15134 9115
22041,11833 8942 5508 5113 6605 6291 5645 12925 5700 8638
21969,15841 5562 17209 18097 11254 1105 663 3974 8903 5714
13946,3627 15677 4256 5624 5615 5115 5623 4179 8949 6414
1007,4343 13194 6728 3565 13568 7642 3572 519 16148 5009
19260,4191 17951 1482 5051 4190 7320 6898 4153 4918 11222
11520,2519 3611 7190 11393 5722 7576 5926 8637 5940 5851
29216,5065 8469 8668 15908 10232 8205 10783 525 8526 735
24191,9002 8429 16188 4448 10466 18343 8347 3232 4536 995
19107,3584 5012 6215 401 9260 18234 18322 9263 3650 14166
10472,6807 4629 189 197 7479 5196 1193 15398 9258 5168
15001,4687 18098 13270 67 3972 6159 3807 4206 9096 5434
25805,16220 390 17206 3974 11227 17267 15398 4037 16232 16200
18707,16373 6785 18158 373 8213 6387 7330 16196 3901 131
2753,16341 8470 189 2693 187 14432 15156 17595 3883 18171
27527,10971 8924 17967 5114 8666 2835 8620 11356 3546 11221
12662,11251 7711 15720 6812 4018 4010 10012 11356 6411 15424
25498,8478 4691 17625 15396 5113 3898 3616 4703 17094 9461
21978,4712 762 4634 6697 16517 7263 4187 2736 10232 2739
6329,5926 9714 5661 13590 5153 13206 829 3648 5695 11472
182,3633 14995 3571 221 15856 6233 13198 8179 4771 4409
14596,8445 15336 18291 8508 14130 15799 12589 8473 8483 6510
22433,8638 5223 8668 7172 4374 3627 8565 4128 5711 15801
13990,8445 10466 379 197 18101 10227 4207 16304 8641 8635
1720,13836 4968 5297 5897 5176 3991 4448 13461 5111 12194
16878,5651 4361 14036 6394 4411 546 566 1212 4379 17308
7046,9461 4279 8306 4787 8505 4771 6359 15458 4762 4657
15152,8046 9672 14213 17556 7708 3074 2664 5302 4976 17944
13600,6389 3947 5838 16745 4806 5288 13208 3951 5043 3084
3725,5650 1035 10166 5736 10227 7581 4416 4625 10297 5155
17708,1944 5929 5939 4715 8318 3834 5940 1943 4231 5723
17743,4968 12572 8179 4207 8473 8417 9446 521 5562 4206
29417,9731 15112 4778 10128 13116 12698 4662 1962 10890 6280
17269,14771 3640 648 8644 3822 14847 7688 3069 5176 660
30059,17858 3516 5169 15299 11593 3517 4717 4688 5560 4690
19128,9236 7500 3822 5610 6393 8455 9014 7472 5113 7931
25018,5838 11782 5297 3366 9208 9479 7457 7495 4758 3654
20906,1558 16278 9145 14587 18076 6219 9208 4531 3566 17727
23578,8259 8849 4410 13159 16001 15991 187 5275 12469 6404
9849,4119 15099 7495 10583 14517 5139 4948 11896 6156 17596
14193,7325 660 16137 3921 4870 4034 16292 8564 4629 7267
5103,17131 16222 13622 12648 5868 4361 10227 3608 1693 12625
3267,10920 4844 11108 6427 15098 6948 2575 15841 14337 15840
4367,7458 5528 3902 5494 8756 9951 5165 16460 4357 3838
14777,3595 4727 10067 6381 3593 6380 8011 9446 8638 9456
19725,17490 2599 8527 12229 9103 6017 9154 1631 14560 12843
4957,12143 5465 2301 9303 4439 4747 3993 3991 3572 8455
10291,9940 7190 8666 6796 8854 13836 738 5877 207 7287
2918,7354 4018 3876 6070 5672 3572 5953 9205 3541 14966
23205,520 18095 3815 3883 6637 379 15104 8012 7607 9126
21475,4128 9014 4190 8856 16135 16213 10141 13842 15801 6745
28344,18150 9002 7584 9035 16304 246 17835 4343 9118 8506
1518,233 12250 8414 4634 8259 14251 4746 5192 5481 15398
11922,2903 3806 3654 10497 7479 11952 11942 16184 10653 17748
21235,1606 5299 6648 4306 13825 10469 9263 10467 10466 11218
29370,4036 16137 9199 11191 8257 17558 16578 9228 6170 4691
16430,4658 15598 16225 5097 6691 15571 3593 2240 4309 6530
9825,736 3641 6035 7495 4738 5331 4723 4714 7496 8034
550,4647 7415 2736 6282 15101 4635 7655 2740 5910 5908
22903,14194 12425 7330 8457 6113 3608 9446 18233 7583 4481
1074,3509 16213 10466 16215 7729 9476 9453 2936 566 3059
22773,15398 12760 11214 7595 6752 8261 7883 6424 16298 376
16379,7600 2439 2753 1311 2168 2354 2752 2506 10157 6659
15793,5736 8694 1307 2506 4403 446 13040 15800 8984 2244
2581,8872 8635 2379 3648 8526 13628 11714 5190 7588 9208
4195,5291 16148 4068 18190 8694 18025 16506 4970 75 10807
15377,12646 8997 2590 3006 349 16188 6530 981 3868 16665
13078,9676 18241 3815 3611 4967 8179 5220 3516 4192 7699
11203,10454 3572 5920 6203 10010 6200 1943 10067 7649 4985
21342,1944 4352 7583 72 5753 12027 4538 3641 9461 18345
7717,3747 3922 3611 13206 7363 7882 4193 7287 8636 5484
4200,8887 7385 7527 12037 6866 9461 6919 3554 8900 5301
3946,16584 5888 6137 3635 5671 6157 6404 5700 9941 5372
19542,8637 8390 144 4755 3831 1212 5725 8309 7585 17620
12775,8668 6136 5332 8445 6504 10528 12763 8463 234 227
9592,6231 3576 5411 3794 3911 5868 12100 2290 17621 5297
16589,6218 17768 12808 13901 2808 4059 16118 10077 4634 6844
12235,5434 11647 7324 5275 7640 4119 5120 12200 3541 4451
4247,9103 17759 15114 3897 17580 9115 4696 8414 14737 14501
22885,5542 4827 17955 4844 5596 10232 6289 4070 3879 6135
4515,13055 5610 4000 13892 8745 16267 16376 8635 6064 4731
10811,8666 3540 4279 8526 13172 4280 6555 8638 4151 8535
20443,4495 3886 9103 5723 16479 5432 4184 8221 16145 10496
13145,17966 6923 18073 10528 5401 5184 5542 127 227 5702
609,11254 10466 13208 1212 15099 17547 6530 8825 6320 5331
26529,10163 15100 15099 9475 9476 7581 8565 8398 15101 6807
13001,5721 8914 5562 10112 9655 8483 3100 2830 15664 5720
8325,15728 4984 8445 142 16737 16293 17321 5322 4081 194
14223,4631 6943 10813 3641 5657 5737 17858 17917 3640 4841
6565,10139 4201 227 5276 17989 5133 14284 7585 8984 18290
18782,9198 5896 5143 14175 12355 5156 10528 5619 5167 9944
6592,6289 10843 5561 16584 7357 7609 13202 5562 3806 4658
28270,3533 3534 5737 9711 5809 3527 5946 7884 6985 3834
15655,15106 7352 3898 5044 9334 9446 9231 4194 5560 3471
26414,5196 17773 4764 11901 10388 5135 3528 10976 5136 8445
3150,8414 8841 8957 8668 8473 8667 11733 18031 12668 5114
9423,5331 15222 1023 5084 4845 11834 3539 4657 14281 4693
19652,10995 10097 8880 16181 12470 9303 16182 5113 10466 6866
7663,3252 5488 16304 143 5304 8478 17596 6930 131 3576
2567,2234 187 3971 7357 3535 1321 18304 16211 3965 10829
5404,4728 4253 146 3827 6018 1193 4723 10163 17989 8259
19852,8469 4781 4480 15100 8667 1193 7885 4086 18111 6648
13632,4687 386 4361 75 7595 6393 14064 7311 18137 5920
3316,845 8034 2576 3569 4279 4149 6955 3827 6526 3805
14259,744 13980 4815 13992 3278 14305 13985 906 3730 16182
15321,189 17677 1027 13610 15819 10824 15207 13604 187 18049
14559,7598 3922 8638 5664 9014 9448 3059 5661 5650 8214
16939,6392 18308 17750 6218 4280 4844 3540 5338 8667 18183
17782,3090 8142 5530 44 13094 7335 6728 16552 11472 4771
5884,160 5835 8982 5017 5193 4057 7354 6064 3852 6528
23993,8564 8229 10304 12957 8840 6074 4094 10181 3647 4619
14595,11904 4723 7223 12132 12415 217 6049 3822 5940 7195
8637,9948 2301 3209 7554 16765 12031 6080 18309 1343 4219
14325,12869 14927 14916 8261 9122 14451 1091 15336 4959 17291
15219,6280 11920 8506 528 571 9935 532 3897 4256 3575
16760,13833 3993 5300 7823 3965 6146 10563 9940 875 3877
7857,6869 5174 9770 5176 15948 12227 9797 13784 9815 17620
19335,8666 7531 7824 5666 15120 10587 8584 12760 6506 10096
13438,18166 15148 7199 10843 4317 3088 6906 14451 10688 6049
2350,4781 3897 4146 4790 4795 3968 5192 5130 5206 4210
4468,15030 9475 5181 11026 14441 15031 14750 13582 2234 8627
9702,15099 3806 5143 9128 17567 4266 4657 9104 12355 3852
353,17776 7199 1041 15706 7198 6753 5827 3653 5479 5542
8841,8179 4416 8186 8481 5128 7711 9475 5508 5143 7704
17811,54 6018 11222 15838 6014 11220 4273 10130 15868 7671
1565,8490 4176 3626 3606 7626 1212 5666 6954 4728 4748
13589,8257 8981 17768 8978 14847 3123 3509 8440 6446 9106
15278,5431 17798 2192 4619 824 18288 16410 12813 13143 9461
13857,9334 8481 13206 5516 8942 15503 8214 12037 13210 17921
26416,4728 8415 2736 1916 10929 11849 15720 4720 14847 8261
12046,4440 5446 582 5732 8889 18316 4014 18093 9646 5340
7851,18153 17719 8997 11679 6289 4783 8474 16934 18144 3704
17425,18181 6422 4070 16185 4317 13825 5296 9033 4937 7475
6019,5297 7437 15293 4024 7307 4094 4124 192 7479 4280
1171,3883 7310 5677 13833 10466 10141 14870 15042 3405 12015
15634,4399 3806 18094 14727 4723 17578 6493 9117 6231 3922
30301,3978 14045 16099 10860 3977 18181 532 10849 5273 18182
6083,8884 4844 17192 6053 8885 12484 3546 15361 16217 5879
29204,8173 5725 14220 4057 3773 9452 7772 6393 1704 11393
29093,6156 3556 3982 5189 7293 4452 5139 9461 5190 5195
11383,3074 15989 18106 3970 12614 5726 4806 3947 8825 12617
6971,5249 18203 4657 17980 5119 8186 114 18355 6199 5505
17633,17952 5983 6881 2954 5287 6468 16125 12983 15841 15967
10497,1448 3057 4220 4057 10163 4967 232 8445 5276 18077
13898,3531 5560 5288 5054 3527 17580 8161 4010 3105 3529
4735,569 8935 18185 5957 10808 4612 8202 552 10837 995
9637,7059 4250 12021 14869 18193 10528 8666 50 18098 12469
926,15183 7595 5143 3654 3999 9305 8668 7596 17784 12759
4441,17560 18034 964 5156 10466 7493 10296 4687 15713 4385
14322,4634 8982 5113 6404 6796 4657 16351 7708 197 2690
26250,6660 4634 8062 1738 5203 18299 8064 8063 8008 14847
19557,6326 187 5297 11829 6330 5294 5304 6794 17865 6807
27602,17614 16306 5814 18025 2081 6906 5804 6949 3604 10663
7839,6440 4976 6270 5865 13206 4982 6806 5297 17039 4977
25338,5402 5274 5401 5275 17977 10602 10005 16118 10831 5273
20471,6881 3827 16266 4629 193 9609 4630 4221 8455 5693
6225,4759 7606 5895 5143 6375 12355 12469 736 6404 15502
1271,4351 4719 6005 4660 4280 5580 6531 6229 13845 15246
24118,6943 6684 9073 8627 207 3806 7174 16667 696 18028
14752,8376 15031 9433 5186 9475 13066 2913 17788 9228 9071
12688,12007 12259 6947 5577 7182 15205 5210 13633 7415 10831
16669,10783 4051 18330 12032 7717 6943 7459 4053 10232 8468
1447,14202 9938 7581 5142 5115 4720 5009 3086 3685 3571
25320,6019 3901 4280 3805 8478 4487 5289 3993 4036 7696
26583,3830 6776 18175 11223 5919 9201 9202 15424 8638 566
1918,5834 4088 5120 5005 6368 5656 13757 17963 10958 7354
25460,7584 389 10350 5404 14319 2525 14870 9205 7880 126
3741,12861 15119 11750 11214 4691 9461 4805 10141 7371 12730
1356,16534 16017 11437 10469 5352 4055 16533 4827 16530 11170
27505,724 17988 10531 9205 5166 9208 17964 12980 11273 7592
11820,5499 566 7583 5593 4755 5613 8638 3995 6388 12019
19545,4361 138 5897 7581 9338 6269 461 11933 12469 2776
20922,6750 4193 5529 10167 12392 14847 5113 12320 5669 5005
24593,9549 15854 5301 17995 18098 5743 5142 12233 18092 15855
17596,5296 519 5297 10466 14245 738 739 8564 735 12469
17049,5721 6168 11294 2400 8665 131 13042 6269 1212 16421
29484,4513 3636 4102 9610 6204 6202 6201 3882 5714 13054
18174,3608 8254 15205 2560 9199 15102 5637 6404 10141 5285
6337,17259 4217 10262 4456 5465 5657 9349 5009 4048 17594
21820,3593 7594 4609 10650 17951 8638 7659 5897 5142 3566
18017,5560 5742 739 5741 4410 8232 11321 5365 16657 16656
17730,10914 4459 4361 4384 12851 10108 17955 5872 5951 4869
18683,16200 11952 15892 10474 11268 4408 3107 5279 7311 6454
11143,2301 7352 6685 11782 7354 7192 18290 12759 5336 3816
17402,15503 14277 2525 8143 8051 15188 8640 144 10902 9617
8991,4771 5034 10784 17547 6925 1023 8982 4262 5610 8445
18158,3838 4611 5120 7493 4732 7887 5060 4542 5005 5537
27507,8514 8638 527 192 3537 18293 8537 9691 3608 530
22097,6160 16659 6948 8505 6281 8641 5554 3847 9335 4010
15000,189 14251 16280 7857 3919 8725 9327 17453 7576 3805
12447,4828 4446 12805 11222 5276 9128 4001 8381 8111 14852
509,17671 10055 194 7584 10586 8328 197 3765 17559 4470
7495,3834 10055 5739 1554 6005 7495 3841 1865 1497 4352
16796,3509 7868 11268 11222 4803 9205 3970 5389 1105 4094
25481,9303 7258 18193 18197 18043 3192 18040 13530 7247 156
12006,8825 4976 5677 11218 4747 5679 9044 11309 7357 17864
2255,6331 7196 15228 5294 17870 8845 4844 4317 16379 13387
22751,1023 3842 6136 4131 16661 75 5645 4209 227 5044
1957,18101 5270 207 4552 15100 3877 9053 9093 6798 9049
15686,11542 5554 9334 3590 4695 10527 7519 3884 6289 4657
15460,6292 8707 8065 17302 10857 6474 12227 5499 12592 17965
12259,8213 14754 5301 8214 3971 5661 14653 7824 5297 14315
17705,9239 11734 3593 11309 666 11353 4090 5220 12258 3699
25477,7596 6786 5113 7495 6289 4221 18300 725 6955 5553
18471,5904 9203 4492 3805 17989 6250 521 16592 17769 6719
5364,18212 15299 1415 8170 4691 5006 17977 5261 10238 7129
27882,2787 15101 15100 10562 15102 10469 10567 7172 8638 5297
28792,13825 5289 3842 18368 3192 16580 9057 9448 724 3568
26106,14875 1230 3100 14162 2971 5791 14232 6866 3026 6916
15597,4459 7703 16182 15186 4864 5560 7138 18286 15101 15099
28577,4230 15664 8712 4153 5522 4179 17320 5043 11906 16769
4816,6897 6204 14974 7478 6763 11609 7589 17967 4434 16273
1282,8638 8404 3565 5879 11308 3641 3608 8306 192 8308
10816,7711 6266 6296 12705 5170 5560 7150 17556 5695 4035
9898,13146 7352 3818 9104 11993 5815 6157 4906 5274 2301
12441,11841 8445 1229 10128 14652 17464 386 13893 2103 9616
23585,5301 12359 8984 7671 16281 5114 3572 1212 6785 16209
11293,4763 11938 16767 8308 14227 15720 6710 2822 6344 14839
23564,11300 16221 10914 17559 8478 17291 4630 4854 16222 4937
12655,5989 4695 8534 7496 17807 1160 345 4719 126 3553
18478,15101 12819 12020 17951 10232 5434 10045 14656 8535 8534
21547,4410 7304 5940 6328 7061 9106 6344 8481 8494 12852
14633,7892 8641 5142 12038 530 8328 4037 3806 10594 17750
12683,819 15755 7936 17314 8700 13853 2125 4547 17318 12122
15511,10850 16224 6083 197 5304 5235 18181 599 2455 955
1575,2301 4289 8259 7199 7606 5887 5522 3991 12232 16304
8854,9128 7884 7310 8179 529 8627 5297 12525 15228 18094
9410,17050 17044 17041 17064 16794 13419 16857 16868 16908 17062
23579,10009 10163 4367 12038 8587 440 3895 5275 11214 5114
24772,8825 6793 15243 18071 4346 4280 5926 8384 6161 4217
20927,4487 9487 17955 5527 8269 3807 15708 14250 10564 3050
15120,3831 17092 4191 6648 4214 4656 3626 6477 6413 2434
3679,4359 5362 15892 718 5118 1118 5279 10575 16203 3999
15497,3806 4720 50 7496 11047 3818 7663 3996 4627 4688
8587,1146 5780 10185 6978 1147 13387 3762 8626 15291 7291
5578,7964 10257 3655 7496 4179 5339 4314 5353 404 4653
8732,8214 5533 7246 13836 6686 3620 8213 6650 15513 4343
5342,4037 16459 5920 15710 5114 17580 14757 5921 2522 8414
5952,6276 2984 10277 5926 3928 8414 4687 7606 6292 4844
27744,5610 4090 5261 5322 5720 7870 3100 14839 17957 4300
11322,6292 2996 8567 11222 5128 10466 7583 5142 5488 9134
11429,8481 14852 6165 962 3190 6157 866 6156 8165 5344
15198,5736 10157 11752 4300 3805 9260 5508 232 9262 4287
3298,10185 15116 5562 17288 4111 3971 8921 5112 7651 197
21056,5926 13172 4399 7609 4722 4000 17604 7314 7717 6291
7350,8308 18140 15120 5920 10594 18097 16211 7596 17798 15114
1111,3565 4531 11304 17349 8638 8936 7192 8984 3611 8008
12822,6745 13298 12258 3901 3059 4906 7219 6808 3303 551
15151,379 13202 7888 18098 6400 15384 13544 9448 5455 17140
9764,5294 17598 5203 6414 10949 17955 15429 8170 8179 18055
19526,12057 9992 12059 11270 8627 3568 8252 4591 6484 12056
